User-ID,ISBN,Book-Rating
273849,0140620648,0
90766,0719564859,0
246655,0373028687,0
198699,0671727079,7
197659,0590629778,0
186570,0671027069,0
36606,1880563096,0
273993,0590494481,5
254716,3257228600,0
172030,0380781379,10
159033,0399136649,7
40889,0440472105,7
96554,014034991X,0
22343,9722905147,0
201526,088899382X,0
14387,0316284955,8
153662,0679735771,0
212898,0723261520,0
170229,044021873X,0
40943,0345370775,0
178093,0812507398,7
124876,0380789035,10
111947,0553255843,0
9417,0393037606,0
47128,0312983646,5
120548,8420603775,0
224525,0553267701,10
182987,0140177078,0
271284,067183276X,0
231210,0446359637,0
37185,0553100629175,0
24391,0385335377,0
79099,0446321095,0
268957,0330375253,6
155219,0446530727,0
93092,0375727345,0
225810,0345342364,0
236661,8501041300,10
49109,0312254954,0
198711,0590431250,0
250739,8804331186,0
207721,0385489501,0
208141,0689716419,0
81311,0060916303,5
3371,0804108293,9
127200,0446360589,0
52323,3871342165,7
252827,0091805961,0
242824,0373218095,0
226545,1551665727,0
138844,0373034032,0
850,3426616262,6
189876,039914465X,5
247852,0553213814,10
169341,0312979533,5
220122,0375413006,8
94818,0152020764,10
170493,0060959037,9
156214,156584100X,0
223078,0349105715,10
88729,0671896776,0
124571,0312243022,0
231827,0373631170,0
235105,185285197X,0
93047,0963498266,9
224646,1843330644,0
149907,0671678817,0
167800,0060195703,0
83304,0671022172,0
110440,014029628X,0
83671,0425165582,10
221445,0590449486,0
78901,1573228583,9
170518,0440216729,0
127233,0525944281,0
123790,0446610038,0
92652,0743222172,0
83684,8883641361,0
27664,0140254560,4
216882,0566006138,0
136205,080411868X,0
101081,981204695X,6
242299,0515092266,0
236668,0141301104,10
162856,0060096195,8
251449,8482561898,10
222184,0425144429,0
275305,0385484283,0
71712,0671692658,7
274308,0030131766,0
250764,0451202309,0
227295,0060502258,0
247166,0385722206,0
262409,8439711387,0
110973,0879973587,0
8870,0425182908,5
63714,1850764506,10
135265,0373511884,5
56959,1565657144,0
8362,0374513112,0
106426,0140033270,7
43246,0449210677,9
189835,0373303475,0
40943,055357065X,8
13093,9505812760,0
238545,0895772760,0
98547,0448095157,0
58594,0441870732,10
236955,0883686031,0
167471,0553568914,7
81136,0425129594,0
147847,0515118362,5
192278,0375700269,8
38023,0939979195,7
180571,3404147952,0
78111,3423052430,0
203441,0425134350,9
273113,0451409892,5
52203,2253006874,7
87974,0142002798,0
89014,0312280637,0
104636,0590213113,0
107784,0373030061,5
266854,0449237869,7
25395,1551666642,0
59034,0306813092,0
127200,0345377664,0
64440,0684864304,0
159033,0553249002,0
219482,0425040135,0
252292,0849939666,0
3827,0152017682,8
181176,0679745203,0
110973,0373107625,0
171177,0971880107,0
212923,0307116166,0
95010,0805410007,0
95359,0679763996,0
203762,0140059156,8
253855,0877018979,0
11676,0679445315,7
59511,0671025333,8
255489,0345417623,0
268657,044809536X,0
211231,0671042858,0
274111,0345303067,0
261641,8804496088,0
149934,0380812045,0
118677,0553266462,0
107099,0140442979,8
173684,0761529888,0
161752,0451198948,0
39646,0515089958,0
265115,030700113X,0
138649,0786014245,10
211426,0140440631,0
144997,1560761156,0
55486,0836267850,5
127147,0061032069,9
198711,156689140X,0
76626,0140306854,10
167442,042518000X,0
25957,3442433495,1
274656,0451166833,0
100846,0446364495,0
95359,0061000280,0
37644,0375706771,10
215498,0340751673,0
7283,0553278274,7
63765,1857231384,0
198711,0307001393,0
245963,0698108019,0
107244,0380844001,0
54898,0804833087,10
251140,0060987529,0
113817,1556115113,0
156150,0440961327,0
161995,0142001740,0
267061,0061098019,0
56399,1568820941,10
224121,000617499X,9
41842,0440221471,0
21684,0373244908,5
235105,0446344710,8
245827,0345366239,0
236994,0399141200,0
49212,0425154092,8
117539,0805207686,0
145885,1853260010,6
55548,0070064601,0
4973,0767901649,7
107784,0451144287,0
111000,0886773733,0
34444,3442438179,8
57449,0553580280,0
266522,0600596532,0
71967,3453033264,0
266807,0806124733,9
260498,0515133302,0
33491,0449210820,7
55548,0553123750,0
15076,B00005W98G,0
176763,039914787X,0
36709,0399147438,0
263357,1587990822,9
134890,3404220439,0
49683,1893010023,0
179075,0446605239,10
174092,0688177751,8
226545,0553445383,0
42466,0676975658,0
20859,0948590009,0
51359,0395475910,8
174131,0307128423,0
99227,0870862758,0
36606,1891620150,0
201365,2207504379,0
75595,0671019015,0
11601,0486297659,0
86231,8831509837,0
94347,0871134799,7
23902,0375413847,8
158254,184022410X,0
72531,0399149147,0
151483,0451408683,0
55492,0849937051,8
54828,3423127112,0
95359,0141301244,0
81368,0821765957,0
71739,3442353750,0
244996,0515131210,0
36907,0142000485,0
274308,0373621094,0
84910,0345338588,0
51450,0451197550,10
136139,0345368436,0
194669,0515127396,0
222501,1560768401,6
11676,0553287893,0
78619,1568211864,8
215003,8838910987,8
205054,0140370331,0
218638,0804106304,0
131855,0140432523,0
198046,0385315953,0
98391,039305764X,9
245963,0821764454,0
26544,067100641X,0
50628,972792090X,0
121170,0385492081,10
55220,0451451430,0
190925,0553278169,0
98741,0446517984,0
278418,0307114104,0
36741,0304345350,5
32440,019558404X,0
200674,0515112089,0
265313,0345444884,0
227520,0886776783,0
7125,0786015772,0
157247,9001550371,7
11676,0743200985,10
